X	Y
0.997343853	0.953341319
0.995699814	1.147995486
0.999225241	0.730585011
1.996010704	1.139537518
1.997820268	0.925285101
1.999596425	0.714988113
2.995442723	0.846848089
2.997401335	0.614948372
2.999307695	0.389235352
3.996538256	1.133777921
3.99837309	0.916533577
4.000187366	0.701723342
4.995937296	0.844993211
4.997879633	0.615020498
4.999772288	0.390930218
5.997100501	1.123910763
5.998939618	0.906159312
6.000711492	0.69636943
6.996440864	0.842073409
6.99839862	0.610275114
7.000306693	0.384359251
7.997604068	1.120990961
7.999454321	0.901921034
8.001254035	0.688834961
8.99687933	0.846861624
8.99883366	0.615469013
9.000745159	0.389147465
9.998075085	1.121925168
9.999988298	0.895400778
10.0018484	0.675164506
10.99733279	0.849874966
10.9992884	0.618330223
11.0012196	0.389675987
